,Suburb,Medium House Price,Growth Percentage,Latitude,Longitude,Nearest Urban Center,Nearest Airport,Nearest Train Station
0,Alexander Heights,430000,3.6,-31.828,115.867,14.0,16.0,7.0
1,Alfred Cove,805000,5.2,-32.034,115.809,10.0,18.0,3.7
2,Alkimos,400000,-1.5,-31.629,115.688,40.0,43.0,8.3
3,Applecross,1600000,0.0,-32.016,115.836,7.0,15.0,2.0
4,Ardross,1050000,0.0,-32.025,115.841,7.9,15.0,2.2
5,Armadale,240000,-5.9,-32.152,116.008,26.0,24.0,0.5
6,Ascot,710000,7.6,-31.941,115.923,6.3,4.2,2.7
7,Ashby,460500,0.1,-31.734,115.792,25.0,28.0,2.6
8,Ashfield,430000,-9.5,-31.915,115.938,8.7,3.9,0.3
9,Attadale,1033500,-9.9,-32.026,115.801,9.5,18.0,4.6
10,Atwell,507000,-2.6,-32.133,115.861,20.0,24.0,0.9
11,Aubin Grove,532000,-3.3,-32.168,115.861,17.0,27.0,2.1
12,Aveley,445000,-2.8,-31.781,115.988,,,
13,Balcatta,487750,-2.4,-31.864,115.817,11.0,17.0,2.9
14,Baldivis,390000,-3.6,-32.332,115.822,8.7,46.0,5.1
15,Balga,315000,-6.7,-31.861,115.843,11.0,15.0,4.8
16,Ballajura,400000,-5.9,-31.841,115.896,13.0,13.0,8.5
17,Banksia Grove,382500,-2.9,-31.698,115.815,29.0,31.0,6.8
18,Bassendean,475000,-5.9,-31.905,115.952,10.0,4.2,0.5
19,Bateman,705000,-1.9,-32.06,115.844,12.0,18.0,1.0
20,Bayswater,570000,0.0,-31.918,115.913,6.6,5.7,0.0
21,Beaconsfield,735000,8.3,-32.068,115.764,15.0,24.0,1.3
22,Beckenham,415000,3.6,-32.014,115.965,12.0,8.2,1.4
23,Bedford,630000,0.0,-31.912,115.893,5.8,7.7,1.4
24,Bedfordale,720000,3.9,-32.174,116.051,30.0,27.0,4.2
25,Beechboro,368500,-1.7,-31.867,115.925,12.0,9.0,4.6
26,Beeliar,489500,-3.1,-32.131,115.822,19.0,25.0,3.1
27,Beldon,458000,-0.4,-31.777,115.757,22.0,27.0,2.2
28,Bellevue,313500,-19.1,-31.899,116.025,17.0,7.1,2.4
29,Belmont,440000,-3.8,-31.956,115.921,5.8,4.7,2.0
30,Bennett Springs,430000,-5.1,-31.859,115.945,,,
31,Bentley,455000,-2.2,-32.002,115.919,7.7,8.2,0.8
32,Bertram,353000,-7.6,-32.247,115.848,11.0,36.0,1.4
33,Bibra Lake,530000,-2.1,-32.093,115.837,15.0,21.0,2.9
34,Bickley,880000,40.8,-32.005,116.09,22.0,14.0,9.9
35,Bicton,997500,-8.3,-32.03,115.785,11.0,20.0,3.1
36,Booragoon,834500,0.4,-32.036,115.832,9.3,17.0,2.4
37,Boya,490000,-16.2,-31.915,116.054,19.0,8.7,4.3
38,Brabham,420000,5.0,-31.827,115.9746,,,
39,Brentwood,610500,-5.2,-32.041,115.85,9.6,16.0,0.8
40,Brookdale,269000,-5.3,-32.161,115.982,26.0,25.0,3.0
41,Bull Creek,732500,4.6,-32.065,115.859,12.0,17.0,0.9
42,Bullsbrook,326000,-6.9,-31.671,116.031,36.0,31.0,5.9
43,Burns Beach,800000,-3.0,-31.721,115.721,29.0,34.0,2.8
44,Burswood,805000,28.2,-31.96,115.903,4.2,6.4,0.3
45,Butler,381000,-4.7,-31.649,115.71,37.0,40.0,5.3
46,Byford,385000,-5.3,-32.222,116.007,26.0,32.0,7.6
47,Calista,255000,-15.0,-32.247,115.807,7.3,37.0,2.1
48,Camillo,239000,-11.5,-32.115,116.002,,,
49,Canning Vale,545000,-2.7,-32.058,115.918,13.0,14.0,3.4
50,Cannington,397500,-0.6,-32.02,115.939,10.0,9.2,0.9
51,Cardup,615000,-22.6,-32.249,116.008,25.0,35.0,11.0
52,Carine,790000,0.0,-31.851,115.778,14.0,20.0,1.8
53,Carlisle,480000,-5.9,-31.977,115.916,5.9,6.3,0.6
54,Carmel,545000,-14.7,-32.019,116.084,22.0,14.0,9.9
55,Carramar,480000,-7.5,-31.703,115.777,29.0,32.0,3.5
56,Casuarina,724250,-17.8,-32.238,115.875,13.0,34.0,3.0
57,Caversham,440000,0.0,-31.874,115.977,14.0,7.5,2.5
58,Champion Lakes,417500,-1.8,-32.122,115.989,22.0,20.0,2.3
59,Chidlow,425750,5.3,-31.863,116.266,40.0,30.0,0.4
60,Churchlands,1352500,0.2,-31.92,115.788,7.8,17.0,3.3
61,City Beach,1800000,1.1,-31.938,115.754,10.0,20.0,5.1
62,Claremont,1575000,18.9,-31.981,115.781,7.9,18.0,0.1
63,Clarkson,365000,-6.6,-31.678,115.721,34.0,37.0,2.2
64,Cloverdale,416500,-3.7,-31.964,115.934,7.1,4.1,2.9
65,Cockburn Central,1465000,120.8,-32.121,115.848,,,
66,Como,890000,-2.2,-31.99,115.87,4.0,11.0,2.6
67,Connolly,680000,1.5,-31.754,115.748,25.0,29.0,2.1
68,Coogee,800000,-0.9,-32.116,115.766,19.0,27.0,0.1
69,Coolbellup,425000,-4.8,-32.083,115.807,15.0,22.0,2.1
70,Coolbinia,1150000,4.5,-31.914,115.858,4.7,11.0,3.2
71,Cooloongup,260000,-10.0,-32.3,115.763,2.1,44.0,1.1
72,Cottesloe,2145000,0.2,-31.998,115.763,10.0,20.0,0.2
73,Craigie,430000,-1.1,-31.785,115.768,21.0,26.0,1.8
74,Crawley,519750,-44.0,-31.984,115.815,5.2,15.0,2.5
75,Currambine,513000,-4.8,-31.735,115.744,27.0,31.0,1.4
76,Daglish,1000000,-7.0,-31.954,115.809,4.7,15.0,0.4
77,Dalkeith,2330000,-8.6,-31.995,115.799,7.2,17.0,2.3
78,Darch,560000,2.1,-31.813,115.845,16.0,18.0,5.8
79,Darling Downs,685000,21.2,-32.182,115.988,26.0,27.0,3.9
80,Darlington,535000,-9.3,-31.919,116.079,21.0,11.0,2.0
81,Dayton,420000,-9.8,-31.8518,115.9755,,,
82,Dianella,587500,-1.3,-31.883,115.862,8.1,12.0,5.1
83,Doubleview,721000,0.4,-31.9,115.779,9.8,18.0,2.5
84,Duncraig,690500,0.8,-31.833,115.766,16.0,22.0,2.3
85,East Cannington,449000,-5.5,-32.011,115.957,11.0,7.9,1.2
86,East Fremantle,1150000,4.5,-32.045,115.758,14.0,23.0,1.5
87,East Perth,1002500,-8.9,-31.943,115.877,2.2,8.5,0.1
88,East Victoria Park,623500,-1.0,-31.984,115.903,5.2,7.8,0.8
89,Eden Hill,380000,-7.3,-31.892,115.946,11.0,5.8,1.3
90,Edgewater,520000,6.1,-31.761,115.786,23.0,26.0,1.4
91,Eglinton,427000,0.5,-31.853,115.806,12.0,18.0,1.3
92,Ellenbrook,360000,-6.9,-31.791,115.974,21.0,17.0,8.6
93,Embleton,450000,-6.3,-31.897,115.917,8.5,6.8,2.4
94,Ferndale,445000,4.7,-32.03,115.925,10.0,11.0,2.6
95,Floreat,1350000,3.8,-31.938,115.792,6.6,17.0,2.5
96,Forrestdale,422500,5.3,-32.153,115.948,23.0,24.0,0.3
97,Forrestfield,399000,-1.8,-31.987,116.011,15.0,6.6,6.7
98,Fremantle,785000,0.7,-32.036,115.765,13.0,22.0,1.4
99,Girrawheen,313500,-9.1,-31.836,115.831,13.0,17.0,3.4
100,Glen Forrest,560000,12.2,-31.909,116.1,23.0,13.0,0.8
101,Glendalough,493675,9.7,-31.921,115.814,5.7,15.0,1.1
102,Golden Bay,380000,3.0,-32.43,115.75,12.0,58.0,11.0
103,Gooseberry Hill,685000,3.9,-31.956,116.05,18.0,8.0,6.4
104,Gosnells,305000,-5.3,-32.072,116.002,19.0,15.0,0.2
105,Greenmount,458750,-1.8,-31.899,116.058,20.0,9.7,4.4
106,Greenwood,491250,-1.7,-31.831,115.798,15.0,20.0,1.5
107,Guildford,656250,2.9,-31.899,115.972,12.0,4.6,0.6
108,Gwelup,815000,-5.5,-31.87,115.792,11.0,18.0,2.9
109,Hamersley,525000,-0.9,-31.849,115.82,12.0,17.0,2.3
110,Hamilton Hill,472500,-0.5,-32.076,115.78,15.0,23.0,2.9
111,Hammond Park,540000,1.2,-32.168,115.851,17.0,28.0,3.0
112,Harrisdale,502000,-3.5,-32.112,115.932,,,
113,Haynes,444000,-14.6,-32.154,115.974,,,
114,Hazelmere,470000,-3.1,-31.906,116.0,14.0,4.9,1.6
115,Heathridge,422000,-6.2,-31.759,115.763,24.0,28.0,1.7
116,Helena Valley,542500,-1.4,-31.917,116.042,18.0,7.5,4.8
117,Henley Brook,495000,-2.9,-31.809,116.001,21.0,15.0,9.2
118,Herne Hill,535000,28.9,-31.829,116.017,20.0,13.0,7.1
119,High Wycombe,425000,0.7,-31.939,116.013,15.0,4.3,5.4
120,Highgate,875000,7.7,-31.939,115.869,2.0,9.2,0.9
121,Hilbert,380000,0.0,-32.172,115.98,,,
122,Hillarys,820000,-0.9,-31.809,115.742,20.0,26.0,3.9
123,Hillman,250000,-10.7,-32.281,115.77,2.4,42.0,1.3
124,Hilton,530000,-0.5,-32.069,115.79,14.0,22.0,2.6
125,Hocking,475000,-7.8,-31.769,115.82,21.0,24.0,3.9
126,Huntingdale,380000,0.0,-32.08,115.967,17.0,16.0,3.3
127,Iluka,830000,0.3,-31.737,115.73,27.0,32.0,2.4
128,Inglewood,835500,1.9,-31.922,115.886,4.5,7.9,0.9
129,Innaloo,552000,-4.0,-31.889,115.792,9.7,17.0,1.4
130,Jandakot,653500,-2.8,-32.125,115.853,19.0,23.0,0.5
131,Jane Brook,500000,-3.6,-31.859,116.047,21.0,12.0,5.7
132,Jarrahdale,415000,10.7,-32.338,116.072,31.0,45.0,21.0
133,Jindalee,600000,3.9,-31.644,115.683,38.0,42.0,7.3
134,Jolimont,1200000,26.3,-31.948,115.812,4.5,15.0,0.5
135,Joondalup,490000,-6.2,-31.747,115.77,25.0,28.0,0.3
136,Joondanna,650800,0.1,-31.914,115.838,5.0,13.0,1.4
137,Kalamunda,585000,0.9,-31.972,116.057,19.0,9.2,7.4
138,Kallaroo,750000,-0.3,-31.791,115.745,21.0,27.0,3.6
139,Karawara,574944,-10.2,-32.012,115.884,6.7,11.0,2.6
140,Kardinya,626250,-1.0,-32.065,115.813,13.0,20.0,0.4
141,Karnup,390000,0.0,-32.364,115.909,18.0,47.0,14.0
142,Karragullen,355000,-10.1,-32.109,116.13,31.0,24.0,11.0
143,Karrinyup,772500,-5.0,-31.876,115.782,11.0,19.0,3.0
144,Kelmscott,320000,-1.5,-32.114,116.016,23.0,20.0,0.3
145,Kensington,887500,17.9,-31.988,115.883,4.2,9.5,2.5
146,Kenwick,330000,-1.5,-32.033,115.981,14.0,10.0,1.2
147,Kewdale,480000,-0.5,-31.974,115.936,7.5,4.7,2.4
148,Kiara,425000,4.3,-31.884,115.939,11.0,6.8,2.4
149,Kingsley,545000,-3.8,-31.809,115.789,18.0,22.0,1.2
150,Kinross,480000,-0.2,-31.718,115.735,29.0,33.0,1.5
151,Koondoola,297000,-13.9,-31.842,115.858,13.0,15.0,5.9
152,Koongamia,295000,-7.8,-31.906,116.041,18.0,7.9,4.1
153,Kwinana Town Centre,379000,18.4,-32.248,115.813,7.7,37.0,1.8
154,Landsdale,546000,-1.6,-31.804,115.875,17.0,17.0,8.7
155,Langford,355000,1.4,-32.044,115.941,13.0,12.0,1.1
156,Lathlain,741250,9.0,-31.972,115.911,5.2,6.4,0.6
157,Leda,254500,-14.5,-32.26,115.806,6.5,39.0,1.1
158,Leederville,930000,-0.5,-31.937,115.841,2.7,12.0,0.3
159,Leeming,710000,5.2,-32.073,115.864,13.0,18.0,1.5
160,Lesmurdie,577500,1.3,-31.999,116.053,19.0,10.0,8.7
161,Lockridge,300000,-5.7,-31.88,115.948,12.0,7.0,2.4
162,Lynwood,400000,-1.2,-32.036,115.927,11.0,11.0,2.7
163,Maddington,299500,-6.4,-32.05,115.976,15.0,12.0,0.6
164,Madeley,561000,-4.5,-31.803,115.822,17.0,20.0,3.8
165,Mahogany Creek,496000,-12.0,-31.869,116.178,32.0,21.0,8.4
166,Maida Vale,472500,-3.1,-31.952,116.026,16.0,5.7,7.1
167,Manning,760000,-7.3,-32.015,115.869,6.7,12.0,1.3
168,Marangaroo,390000,-8.3,-31.831,115.839,14.0,17.0,4.3
169,Mardella,650000,0.0,-32.332,115.981,23.0,44.0,17.0
170,Marmion,885000,-1.9,-31.844,115.751,16.0,23.0,4.2
171,Martin,390000,-13.3,-32.081,116.026,21.0,17.0,1.5
172,Maylands,597000,-4.3,-31.928,115.892,4.3,7.2,0.0
173,Medina,222000,-6.1,-32.234,115.805,8.2,36.0,3.5
174,Melville,752500,-0.9,-32.041,115.803,11.0,19.0,3.2
175,Menora,1057500,13.7,-31.918,115.863,4.2,10.0,2.5
176,Merriwa,320000,-3.8,-31.667,115.712,35.0,39.0,3.6
177,Middle Swan,347500,10.5,-31.87,116.022,18.0,9.4,3.1
178,Midland,322000,-5.3,-31.886,116.008,16.0,7.2,0.9
179,Midvale,300000,-9.8,-31.889,116.023,17.0,7.8,2.1
180,Millendon,715000,0.0,-31.804,116.02,23.0,16.0,9.8
181,Mindarie,645000,-0.8,-31.686,115.704,33.0,38.0,3.3
182,Mirrabooka,326000,-9.4,-31.858,115.865,11.0,13.0,6.7
183,Morley,460000,-6.1,-31.896,115.905,7.9,7.7,2.6
184,Mosman Park,1417500,9.0,-32.006,115.758,11.0,21.0,0.0
185,Mount Claremont,1281500,-3.0,-31.963,115.778,7.7,18.0,1.6
186,Mount Hawthorn,883000,2.4,-31.92,115.837,4.4,12.0,1.5
187,Mount Helena,460000,-2.1,-31.877,116.211,34.0,24.0,5.4
188,Mount Lawley,970000,4.6,-31.934,115.872,2.6,9.0,0.8
189,Mount Nasura,418000,4.8,-32.137,116.024,25.0,23.0,1.3
190,Mount Pleasant,1251000,21.3,-32.027,115.852,8.0,15.0,2.0
191,Mount Richon,412500,-3.5,-32.16,116.021,27.0,25.0,1.0
192,Mullaloo,645000,-3.7,-31.779,115.743,22.0,28.0,3.5
193,Mundaring,570000,0.9,-31.902,116.168,30.0,19.0,6.6
194,Mundijong,402500,-4.2,-32.295,115.986,23.0,40.0,15.0
195,Munster,515000,2.0,-32.136,115.788,17.0,28.0,3.0
196,Murdoch,729000,4.9,-32.062,115.833,12.0,19.0,1.6
197,Myaree,650000,-7.1,-32.04,115.816,10.0,18.0,3.0
198,Nedlands,1607500,0.5,-31.978,115.81,5.3,15.0,1.7
199,Nollamara,381000,-3.5,-31.882,115.841,8.3,14.0,3.7
200,Noranda,540000,-7.9,-31.876,115.897,9.6,9.8,5.0
201,North Beach,900500,-17.2,-31.861,115.753,15.0,22.0,4.5
202,North Coogee,1165000,2.9,-32.099,115.761,,,
203,North Fremantle,885000,-23.0,-32.029,115.752,13.0,23.0,0.1
204,North Lake,571500,-6.7,-32.082,115.838,14.0,20.0,2.1
205,North Perth,828000,0.7,-31.982,115.761,9.7,20.0,0.6
206,Northbridge,1222500,13.7,-31.947,115.857,1.0,10.0,0.5
207,O'Connor,570000,44.3,-32.057,115.793,13.0,21.0,2.5
208,Oakford,760000,-8.7,-32.209,115.916,18.0,30.0,5.6
209,Ocean Reef,720000,1.8,-31.752,115.735,25.0,30.0,3.1
210,Orelia,262000,-16.8,-32.234,115.821,9.2,35.0,2.1
211,Osborne Park,505000,3.1,-31.899,115.811,7.7,15.0,0.8
212,Padbury,525000,1.0,-31.812,115.768,18.0,24.0,1.6
213,Palmyra,633000,5.5,-32.039,115.776,12.0,21.0,2.5
214,Parkerville,517750,2.1,-31.876,116.146,28.0,18.0,6.3
215,Parkwood,442500,-3.8,-32.039,115.904,10.0,12.0,4.6
216,Parmelia,251000,-9.4,-32.249,115.826,8.7,37.0,1.8
217,Pearsall,470000,6.6,-31.786,115.817,19.0,22.0,3.6
218,Peppermint Grove,3575000,2.9,-32.0,115.767,10.0,20.0,0.6
219,Perth,810000,-4.7,-31.955,115.859,0.0,10.0,0.4
220,Piara Waters,483500,-7.5,-32.123,115.924,,,
221,Pickering Brook,695000,113.8,-32.035,116.105,25.0,17.0,10.0
222,Port Kennedy,355000,-3.9,-32.376,115.753,9.8,52.0,5.6
223,Queens Park,426500,0.8,-32.0,115.952,10.0,6.8,1.5
224,Quinns Rocks,465000,2.8,-31.673,115.708,35.0,39.0,3.5
225,Redcliffe,420000,-6.7,-31.935,115.948,8.7,1.9,2.7
226,Ridgewood,385000,1.9,-31.664,115.719,35.0,39.0,3.5
227,Riverton,640000,2.4,-32.034,115.899,9.5,12.0,4.5
228,Rivervale,490000,-5.8,-31.963,115.915,5.3,5.5,1.4
229,Rockingham,385000,1.3,-32.288,115.746,0.0,44.0,1.4
230,Roleystone,511000,-3.6,-32.113,116.07,27.0,22.0,5.4
231,Rossmoyne,1050000,-12.1,-32.038,115.873,9.3,14.0,2.1
232,Safety Bay,380000,-7.3,-32.303,115.711,3.7,47.0,4.9
233,Salter Point,1257500,9.3,-32.021,115.863,7.3,13.0,1.4
234,Samson,588500,6.3,-32.071,115.801,14.0,21.0,1.6
235,Sawyers Valley,500000,17.0,-31.902,116.202,33.0,23.0,7.3
236,Scarborough,750000,0.1,-31.894,115.76,12.0,20.0,4.2
237,Secret Harbour,440000,0.0,-32.403,115.749,13.0,55.0,8.6
238,Serpentine,442500,-28.6,-32.364,115.98,24.0,47.0,19.0
239,Seville Grove,310000,-11.4,-32.131,116.0,24.0,21.0,1.2
240,Shelley,920000,3.4,-32.031,115.886,8.7,13.0,3.5
241,Shenton Park,1160000,-3.3,-31.961,115.812,4.5,15.0,0.6
242,Shoalwater,432000,-2.9,-32.296,115.711,3.4,46.0,4.7
243,Sinagra,455000,-1.1,-31.745,115.805,24.0,27.0,3.6
244,Singleton,419500,1.1,-32.446,115.757,10.0,60.0,9.1
245,Sorrento,925000,0.5,-31.825,115.749,18.0,24.0,3.3
246,South Fremantle,1050000,2.7,-32.073,115.758,16.0,25.0,1.1
247,South Guildford,518000,0.6,-31.916,115.975,12.0,2.8,2.0
248,South Lake,390000,-9.3,-32.107,115.829,17.0,23.0,2.3
249,South Perth,1280000,8.0,-31.981,115.863,2.8,11.0,2.8
250,Southern River,540000,-1.9,-32.094,115.959,18.0,17.0,4.6
251,Spearwood,470000,1.1,-32.099,115.783,17.0,25.0,2.5
252,St James,525000,-2.3,-32.0,115.908,6.8,8.7,1.5
253,Stirling,720000,-9.7,-31.883,115.81,9.2,16.0,1.3
254,Stoneville,470000,-5.2,-31.877,116.169,31.0,20.0,7.9
255,Stratton,300000,-8.4,-31.866,116.043,20.0,11.0,4.9
256,Subiaco,1307500,4.6,-31.95,115.824,3.4,14.0,0.5
257,Success,515000,0.4,-32.157,115.846,17.0,27.0,3.7
258,Swan View,356309,-3.9,-31.886,116.046,19.0,9.6,4.3
259,Swanbourne,1411000,-7.2,-31.983,115.771,8.8,19.0,0.0
260,Tapping,472500,-2.9,-31.717,115.798,27.0,30.0,4.3
261,The Vines,643000,2.1,-31.75,116.001,27.0,21.0,3.6
262,Thornlie,383750,-0.3,-32.05,115.965,15.0,12.0,1.3
263,Treeby,520000,-1.0,-32.12,115.89,,,
264,Trigg,1212500,5.4,-31.876,115.753,13.0,21.0,5.3
265,Tuart Hill,570000,7.5,-31.902,115.837,6.3,13.0,1.9
266,Two Rocks,348000,-3.9,-31.512,115.605,55.0,59.0,24.0
267,Upper Swan,460000,-13.2,-31.746,116.04,29.0,23.0,5.0
268,Victoria Park,659000,1.0,-31.975,115.898,4.3,7.6,0.5
269,Viveash,438750,-15.6,-31.876,115.999,16.0,7.7,1.7
270,Waikiki,335000,-8.2,-32.315,115.755,3.1,46.0,1.8
271,Walliston,480000,4.3,-32.002,116.069,20.0,12.0,9.7
272,Wandi,495500,-2.3,-32.193,115.88,16.0,29.0,2.9
273,Wanneroo,400000,-4.8,-31.75,115.806,23.0,26.0,3.5
274,Warnbro,314500,-2.5,-32.344,115.756,6.3,49.0,2.2
275,Warwick,542500,-3.1,-31.845,115.808,13.0,18.0,1.1
276,Waterford,900500,-1.3,-32.017,115.889,7.4,11.0,3.2
277,Watermans Bay,1005000,10.7,-31.848,115.755,15.0,22.0,3.9
278,Wattle Grove,520000,3.0,-32.009,116.002,15.0,8.3,4.3
279,Wattleup,547500,0.0,-32.177,115.794,13.0,31.0,7.2
280,Wellard,417000,2.1,-32.261,115.847,10.0,37.0,2.8
281,Wembley,1000000,-3.1,-31.936,115.813,4.9,15.0,1.5
282,Wembley Downs,1012750,-7.9,-31.911,115.773,9.5,19.0,3.5
283,West Leederville,1277000,8.7,-31.941,115.832,3.0,13.0,0.2
284,West Perth,778750,16.2,-31.951,115.844,1.5,12.0,0.7
285,West Swan,655000,21.3,-31.848,115.989,17.0,10.0,4.8
286,Westminster,356000,-7.0,-31.861,115.827,11.0,16.0,3.5
287,Whitby,410000,-7.9,-32.296,116.01,25.0,40.0,16.0
288,White Gum Valley,725000,-1.6,-32.063,115.767,15.0,23.0,1.6
289,Willagee,527500,0.3,-32.052,115.795,12.0,20.0,2.6
290,Willetton,701000,-1.3,-32.053,115.882,11.0,15.0,2.7
291,Wilson,537500,4.4,-32.015,115.906,8.0,10.0,2.8
292,Winthrop,862500,0.9,-32.058,115.833,12.0,18.0,1.8
293,Woodbridge,620000,-0.4,-31.891,115.992,14.0,5.9,0.0
294,Woodlands,890000,-7.3,-31.909,115.798,7.7,16.0,1.7
295,Woodvale,610000,1.7,-31.786,115.787,20.0,24.0,1.6
296,Wooroloo,425000,11.3,-31.804,116.313,46.0,36.0,8.2
297,Wungong,567100,0.0,-32.174,116.005,27.0,26.0,2.4
298,Yanchep,371100,-3.6,-31.547,115.632,50.0,54.0,19.0
299,Yangebup,440000,1.1,-32.124,115.817,19.0,25.0,3.2
300,Yokine,636000,-2.2,-31.894,115.849,6.9,12.0,3.4
